ItemNumber,StoreNumber,CurrentPrice,Approval,Strategy
948,3,13.99,Approved,A
948,10,14.99,Approved,A
947,1,10.49,Approved,A
947,3,10.49,Approved,A
947,5,11.99,Approved,A
661,3,13.99,Approved,A
661,1,13.99,Approved,A
661,2,13.99,Approved,A
661,4,13.99,Approved,A
661,5,14.49,Approved,A
844,2,8.99,Approved,C
844,3,8.99,Approved,C
844,5,8.49,Approved,C
1006,4,5.99,Approved,B
1006,3,5.99,Approved,B
1005,5,1.99,Approved,A
1100,2,10.49,Approved,A
1100,3,10.49,Approved,A
1100,10,10.99,Approved,A
926,2,37.99,Approved,A
926,3,37.99,Approved,A
926,1,37.99,Approved,A
926,5,37.99,Approved,A
1086,2,10.99,Approved,C
1086,3,10.99,Approved,C
1086,1,10.99,Approved,C
1086,4,10.99,Approved,C
1086,10,11.99,Approved,C
451,4,24.99,Approved,A
451,2,24.99,Approved,A
451,3,24.99,Approved,A
451,1,24.99,Approved,A
451,5,27.99,Approved,A
1740,3,7.99,Approved,B
1740,4,7.99,Approved,B
1740,5,8.49,Approved,B
1764,2,8.99,Approved,B
1765,7,6.49,Approved,C
1765,9,6.49,Approved,C
1746,3,6.99,Approved,A
1746,1,6.99,Approved,A
1746,5,6.99,Approved,A
1746,10,7.49,Approved,A
1924,2,21.99,Approved,B
1924,3,21.99,Approved,B
1924,1,21.99,Approved,B
1924,4,21.99,Approved,B
1924,5,20.49,Approved,B
110,1,11.99,Approved,A
110,2,11.99,Approved,A
110,4,11.99,Approved,A
110,5,12.29,Approved,A
1842,3,15.99,Approved,C
1842,1,15.99,Approved,C
279,2,64.99,Approved,A
279,4,64.99,Approved,A
279,5,76.99,Approved,A
848,4,9.49,Approved,B
848,3,9.49,Approved,B
848,2,9.49,Approved,B
848,1,9.49,Approved,B
848,10,9.49,Approved,B
906,4,17.49,Approved,A
906,2,17.49,Approved,A
906,1,17.49,Approved,A
906,5,18.49,Approved,A
1004,2,8.99,Approved,A
1004,5,10.49,Approved,A
1009,5,4.99,Approved,B
1104,1,10.49,Approved,D
1104,4,10.49,Approved,D
1104,2,10.49,Approved,D
1104,3,10.49,Approved,D
1104,6,10.99,Approved,D
1104,10,10.99,Approved,D
1365,4,39.99,Approved,D
1365,2,39.99,Approved,D
1365,3,39.99,Approved,D
1365,1,39.99,Approved,D
1365,5,44.99,Approved,D
1368,4,15.99,Approved,D
1368,2,15.99,Approved,D
1368,3,15.99,Approved,D
1368,1,15.99,Approved,D
1368,5,16.99,Approved,D
1444,1,149.99,Approved,B
1444,4,149.99,Approved,B
1444,3,149.99,Approved,B
1444,10,169.99,Approved,B
1882,3,119.99,Approved,C
1882,4,119.99,Approved,C
1882,1,119.99,Approved,C
1882,2,119.99,Approved,C
915,2,32.99,Approved,A
915,3,32.99,Approved,A
915,1,32.99,Approved,A
915,5,33.49,Approved,A
1231,1,7.99,Approved,C
1231,2,7.99,Approved,C
1231,3,7.99,Approved,C
1231,4,7.99,Approved,C
1231,5,8.99,Approved,C
760,1,7.49,Approved,A
760,4,7.49,Approved,A
760,3,7.49,Approved,A
1001,1,9.79,Approved,B
1001,3,9.79,Approved,B
1001,2,9.79,Approved,B
1001,10,9.99,Approved,B
1000,4,12.49,Approved,A
1000,3,12.49,Approved,A
1000,1,12.49,Approved,A
1000,5,11.99,Approved,A
1433,2,11.29,Approved,B
1689,2,32.99,Approved,C
1689,4,32.99,Approved,C
1689,3,32.99,Approved,C
1689,1,32.99,Approved,C
1621,2,4.99,Approved,A
1621,3,4.99,Approved,A
1621,4,4.99,Approved,A
1130,4,13.79,Approved,A
1130,10,13.49,Approved,A
1134,4,13.79,Approved,A
1134,2,13.79,Approved,A
1134,5,13.49,Approved,A
791,4,12.79,Approved,A
1583,1,14.79,Approved,A
1583,5,12.79,Approved,A
1591,3,8.29,Approved,B
1591,2,8.29,Approved,B
1591,4,8.29,Approved,B
1591,1,8.29,Approved,B
443,3,15.99,Approved,A
443,1,15.99,Approved,A
443,2,15.99,Approved,A
443,4,15.99,Approved,A
443,5,16.99,Approved,A
1109,2,189.99,Approved,D
1109,3,189.99,Approved,D
1109,1,189.99,Approved,D
1109,5,189.99,Approved,D
95,1,7.99,Approved,B
95,4,7.99,Approved,B
95,2,7.99,Approved,B
95,5,7.99,Approved,B
360,2,13.99,Approved,C
360,4,13.99,Approved,C
360,3,13.99,Approved,C
360,1,13.99,Approved,C
360,5,12.99,Approved,C
369,4,7.49,Approved,A
369,2,7.49,Approved,A
369,3,7.49,Approved,A
369,1,7.49,Approved,A
369,10,6.99,Approved,A
761,4,4.99,Approved,B
763,1,4.99,Approved,B
763,3,4.99,Approved,B
763,2,4.99,Approved,B
1048,2,59.99,Approved,A
1048,4,59.99,Approved,A
1048,3,59.99,Approved,A
1048,1,59.99,Approved,A
1048,5,59.99,Approved,A
1131,2,6.99,Approved,B
1135,4,6.99,Approved,A
1135,3,6.99,Approved,A
1135,1,6.99,Approved,A
1135,5,7.29,Approved,A
1896,3,10.99,Approved,C
1896,4,10.99,Approved,C
1309,2,109.99,Approved,D
1309,4,109.99,Approved,D
1309,3,109.99,Approved,D
1309,10,129.99,Approved,D
1311,3,38.99,Approved,A
1311,1,38.99,Approved,A
1311,2,38.99,Approved,A
1311,4,38.99,Approved,A
1311,5,46.99,Approved,A
1831,5,12.29,Approved,A
368,1,13.99,Approved,A
368,4,13.99,Approved,A
368,10,14.49,Approved,A
370,2,13.99,Approved,A
370,3,13.99,Approved,A
370,1,13.99,Approved,A
370,4,13.99,Approved,A
370,5,12.99,Approved,A
1192,2,11.49,Approved,A
1192,4,11.49,Approved,A
1192,3,11.49,Approved,A
1192,1,11.49,Approved,A
1192,5,10.99,Approved,A
58,1,5.99,Approved,B
114,2,7.79,Approved,D
114,3,7.79,Approved,D
114,1,7.79,Approved,D
114,4,7.79,Approved,D
114,5,7.99,Approved,D
196,4,16.99,Approved,C
196,3,16.99,Approved,C
196,2,16.99,Approved,C
220,1,3.79,Approved,B
220,4,3.79,Approved,B
220,3,3.79,Approved,B
220,2,3.79,Approved,B
220,5,4.99,Approved,B
411,2,44.99,Approved,A
411,3,44.99,Approved,A
411,4,44.99,Approved,A
418,2,7.79,Approved,D
418,3,7.79,Approved,D
418,1,7.79,Approved,D
418,4,7.79,Approved,D
418,10,7.99,Approved,D
424,4,7.79,Approved,A
424,5,7.49,Approved,A
463,3,89.99,Approved,B
463,1,89.99,Approved,B
463,2,89.99,Approved,B
463,4,89.99,Approved,B
463,5,89.99,Approved,B
463,10,89.99,Approved,B
495,4,9.99,Approved,C
495,2,9.99,Approved,C
495,5,10.99,Approved,C
652,2,44.99,Approved,A
652,3,44.99,Approved,A
652,1,44.99,Approved,A
652,4,44.99,Approved,A
903,3,7.99,Approved,A
925,4,53.99,Approved,B
925,3,53.99,Approved,B
925,5,54.99,Approved,B
1543,2,32.99,Approved,A
1543,3,32.99,Approved,A
1543,1,32.99,Approved,A
903,8,6.99,Approved,A
925,9,59.99,Approved,B
925,8,59.99,Approved,B
925,7,59.99,Approved,B
1543,9,34.99,Approved,A
1543,7,34.99,Approved,A
1543,8,34.99,Approved,A
1711,9,25.99,Approved,B
1711,7,25.99,Approved,B
1771,6,5.49,Approved,C
1771,10,6.49,Approved,C
278,7,9.99,Approved,C
278,9,9.99,Approved,C
278,8,9.99,Approved,C
544,7,11.99,Approved,A
544,8,11.99,Approved,A
544,9,11.99,Approved,A
1008,9,11.29,Approved,A
1008,7,11.29,Approved,A
1227,7,9.49,Approved,B
1227,8,9.49,Approved,B
1227,9,9.49,Approved,B
1229,7,5.49,Approved,B
1229,8,5.49,Approved,B
1229,9,5.49,Approved,B
761,9,5.29,Approved,B
763,9,6.99,Approved,B
763,8,6.99,Approved,B
763,7,6.99,Approved,B
1048,9,67.99,Approved,A
1048,8,67.99,Approved,A
1048,7,67.99,Approved,A
1135,8,7.29,Approved,A
1135,7,7.29,Approved,A
1309,9,129.99,Approved,D
1309,8,129.99,Approved,D
1309,7,129.99,Approved,D
1311,8,44.99,Approved,A
1311,9,44.99,Approved,A
370,9,13.99,Approved,A
370,8,13.99,Approved,A
370,7,13.99,Approved,A
1186,7,12.49,Approved,A
1186,8,12.49,Approved,A
1192,8,12.49,Approved,A
1192,7,12.49,Approved,A
58,7,6.79,Approved,B
58,9,6.79,Approved,B
114,7,6.99,Approved,D
196,7,17.49,Approved,C
196,9,17.49,Approved,C
220,8,3.99,Approved,B
220,9,3.99,Approved,B
1102,1,11.99,Approved,A
1102,4,11.99,Approved,A
1102,2,11.99,Approved,A
1102,3,11.99,Approved,A
1102,5,14.49,Approved,A
1446,4,27.99,Approved,B
1446,2,27.99,Approved,B
1446,3,27.99,Approved,B
1446,10,35.49,Approved,B
1447,1,35.99,Approved,A
1447,4,35.99,Approved,A
1447,3,35.99,Approved,A
1447,2,35.99,Approved,A
1447,5,34.99,Approved,A
1625,1,31.99,Approved,B
1625,3,31.99,Approved,B
1625,5,37.99,Approved,B
919,2,19.99,Approved,A
919,3,19.99,Approved,A
919,10,21.99,Approved,A
1225,1,9.99,Approved,A
1225,2,9.99,Approved,A
1225,3,9.99,Approved,A
1225,4,9.99,Approved,A
1226,5,14.29,Approved,C
1233,4,7.99,Approved,B
1233,1,7.99,Approved,B
1233,2,7.99,Approved,B
1233,3,7.99,Approved,B
1233,6,8.99,Approved,B
1801,2,8.99,Approved,A
1801,10,11.99,Approved,A
678,4,8.99,Approved,A
678,2,8.99,Approved,A
678,3,8.99,Approved,A
678,1,8.99,Approved,A
678,5,9.99,Approved,A
1358,3,8.99,Approved,B
1359,4,8.99,Approved,A
1359,3,8.99,Approved,A
116,4,58.99,Approved,B
116,3,58.99,Approved,B
116,1,58.99,Approved,B
116,2,58.99,Approved,B
116,5,65.99,Approved,B
122,3,15.99,Approved,A
122,1,15.99,Approved,A
1468,4,6.99,Approved,A
1479,1,12.99,Approved,B
1479,4,12.99,Approved,B
1479,2,12.99,Approved,B
1479,3,12.99,Approved,B
1479,5,15.49,Approved,B
1778,2,32.99,Approved,B
1778,1,32.99,Approved,B
1778,4,32.99,Approved,B
1793,2,19.99,Approved,B
1793,3,19.99,Approved,B
1793,1,19.99,Approved,B
1793,4,19.99,Approved,B
1793,5,19.99,Approved,B
929,2,52.99,Approved,B
929,3,52.99,Approved,B
929,4,52.99,Approved,B
929,1,52.99,Approved,B
929,10,49.99,Approved,B
931,3,27.99,Approved,C
931,1,27.99,Approved,C
1372,4,10.99,Approved,A
1372,2,10.99,Approved,A
1624,4,10.49,Approved,B
1624,5,13.79,Approved,B
1930,2,9.49,Approved,A
1930,3,9.49,Approved,A
1930,1,9.49,Approved,A
1930,4,9.49,Approved,A
1930,5,8.99,Approved,A
1932,4,4.99,Approved,B
1932,3,4.99,Approved,B
1932,2,4.99,Approved,B
1932,5,5.99,Approved,B
1934,4,9.49,Approved,B
1934,3,9.49,Approved,B
1934,2,9.49,Approved,B
1934,5,8.99,Approved,B
1168,1,4.49,Approved,A
1168,4,4.49,Approved,A
1168,5,4.29,Approved,A
861,4,12.99,Approved,A
861,3,12.99,Approved,A
861,1,12.99,Approved,A
861,5,10.49,Approved,A
862,1,12.99,Approved,C
862,3,12.99,Approved,C
862,4,12.99,Approved,C
955,4,12.29,Approved,D
955,2,12.29,Approved,D
955,3,12.29,Approved,D
955,1,12.29,Approved,D
955,5,11.99,Approved,D
679,2,54.99,Approved,C
679,4,54.99,Approved,C
268,2,8.99,Approved,B
268,1,8.99,Approved,B
268,3,8.99,Approved,B
268,4,8.99,Approved,B
268,5,10.99,Approved,B
683,1,42.99,Approved,B
683,4,42.99,Approved,B
683,3,42.99,Approved,B
683,2,42.99,Approved,B
683,5,42.99,Approved,B
686,1,21.99,Approved,A
686,4,21.99,Approved,A
686,3,21.99,Approved,A
686,5,25.99,Approved,A
1139,4,14.99,Approved,D
1123,3,16.99,Approved,A
1123,2,16.99,Approved,A
1123,10,15.99,Approved,A
677,3,16.99,Approved,A
677,4,16.99,Approved,A
1666,2,12.29,Approved,D
1666,4,12.29,Approved,D
1666,5,13.49,Approved,D
609,5,24.99,Approved,A
1691,4,24.99,Approved,D
1691,1,24.99,Approved,D
1691,2,24.99,Approved,D
1691,10,24.99,Approved,D
1439,2,8.99,Approved,C
1439,4,8.99,Approved,C
1439,5,11.49,Approved,C
1083,2,25.99,Approved,C
1083,1,25.99,Approved,C
1083,3,25.99,Approved,C
1083,4,25.99,Approved,C
876,2,8.29,Approved,A
877,5,8.79,Approved,A
732,1,16.49,Approved,C
732,4,16.49,Approved,C
732,2,16.49,Approved,C
1652,4,9.49,Approved,A
1652,3,9.49,Approved,A
1652,2,9.49,Approved,A
1651,1,9.49,Approved,A
1651,4,9.49,Approved,A
1651,3,9.49,Approved,A
1651,2,9.49,Approved,A
59,2,5.49,Approved,B
59,3,5.49,Approved,B
59,4,5.49,Approved,B
59,5,4.99,Approved,B
1832,2,7.49,Approved,B
1832,4,7.49,Approved,B
1832,5,8.99,Approved,B
207,4,21.99,Approved,B
207,2,21.99,Approved,B
207,3,21.99,Approved,B
207,1,21.99,Approved,B
207,5,24.49,Approved,B
214,2,32.99,Approved,A
214,5,37.99,Approved,A
428,4,12.99,Approved,D
428,2,12.99,Approved,D
428,3,12.99,Approved,D
428,1,12.99,Approved,D
1403,4,32.99,Approved,B
1111,5,15.99,Approved,A
1677,2,16.99,Approved,C
1677,3,16.99,Approved,C
1677,1,16.99,Approved,C
1677,4,16.99,Approved,C
1677,5,19.49,Approved,C
938,4,14.49,Approved,B
938,2,14.49,Approved,B
938,3,14.49,Approved,B
938,1,14.49,Approved,B
938,5,14.49,Approved,B
673,1,17.99,Approved,A
673,4,17.99,Approved,A
750,3,29.99,Approved,A
750,1,29.99,Approved,A
750,2,29.99,Approved,A
750,4,29.99,Approved,A
750,5,31.99,Approved,A
811,4,12.49,Approved,C
811,2,12.49,Approved,C
811,3,12.49,Approved,C
811,1,12.49,Approved,C
811,5,14.49,Approved,C
1357,2,33.99,Approved,C
1357,3,33.99,Approved,C
1357,4,33.99,Approved,C
1357,5,42.99,Approved,C
896,1,26.49,Approved,D
896,3,26.49,Approved,D
896,4,26.49,Approved,D
896,5,29.99,Approved,D
320,4,8.99,Approved,C
320,3,8.99,Approved,C
320,2,8.99,Approved,C
101,3,26.99,Approved,A
101,4,26.99,Approved,A
494,2,9.79,Approved,C
494,3,9.79,Approved,C
494,1,9.79,Approved,C
494,10,7.99,Approved,C
1556,4,13.99,Approved,B
1556,5,14.99,Approved,B
905,3,17.49,Approved,C
905,10,18.99,Approved,C
69,4,43.99,Approved,A
69,2,43.99,Approved,A
69,3,43.99,Approved,A
69,5,43.99,Approved,A
1636,1,9.99,Approved,A
1636,4,9.99,Approved,A
1636,5,9.99,Approved,A
1093,2,12.99,Approved,D
1093,3,12.99,Approved,D
1093,1,12.99,Approved,D
1093,10,14.99,Approved,D
1003,5,9.49,Approved,D
1031,1,11.99,Approved,C
1031,4,11.99,Approved,C
1031,3,11.99,Approved,C
1031,2,11.99,Approved,C
1031,10,13.49,Approved,C
1032,2,19.99,Approved,D
1032,3,19.99,Approved,D
1032,1,19.99,Approved,D
1032,4,19.99,Approved,D
1032,5,24.49,Approved,D
1001,7,9.99,Approved,B
1001,8,9.99,Approved,B
1001,9,9.99,Approved,B
1000,8,12.49,Approved,A
1000,9,12.49,Approved,A
1000,7,12.49,Approved,A
1689,7,29.99,Approved,C
1134,9,13.49,Approved,A
1134,7,13.49,Approved,A
791,7,8.79,Approved,A
791,9,8.79,Approved,A
1591,7,9.49,Approved,B
443,7,15.99,Approved,A
443,9,15.99,Approved,A
443,8,15.99,Approved,A
1109,8,179.99,Approved,D
1109,7,179.99,Approved,D
1109,9,179.99,Approved,D
95,7,8.99,Approved,B
95,8,8.99,Approved,B
95,9,8.99,Approved,B
360,7,13.99,Approved,C
360,8,13.99,Approved,C
369,7,6.99,Approved,A
876,8,8.49,Approved,A
411,9,49.99,Approved,A
411,8,49.99,Approved,A
411,7,49.99,Approved,A
418,7,8.99,Approved,D
418,8,8.99,Approved,D
418,9,8.99,Approved,D
424,9,7.99,Approved,A
424,8,7.99,Approved,A
424,7,7.99,Approved,A
1751,9,8.99,Approved,C
1640,7,19.99,Approved,B
1640,9,19.99,Approved,B
1640,8,19.99,Approved,B
675,9,11.29,Approved,C
675,8,11.29,Approved,C
675,7,11.29,Approved,C
1997,7,41.99,Approved,C
1997,9,41.99,Approved,C
32,7,21.99,Approved,A
810,9,21.99,Approved,A
810,8,21.99,Approved,A
810,7,21.99,Approved,A
722,9,7.99,Approved,D
897,7,19.99,Approved,D
897,9,19.99,Approved,D
1649,7,59.99,Approved,A
1649,8,59.99,Approved,A
1649,9,59.99,Approved,A
1314,7,54.99,Approved,B
1314,9,54.99,Approved,B
276,9,9.99,Approved,A
856,7,54.99,Approved,A
856,8,54.99,Approved,A
856,9,54.99,Approved,A
1840,7,31.99,Approved,C
1840,9,31.99,Approved,C
1543,4,32.99,Approved,A
1543,5,32.99,Approved,A
1711,4,29.49,Approved,B
1711,2,29.49,Approved,B
1711,3,29.49,Approved,B
1772,2,4.49,Approved,A
1772,3,4.49,Approved,A
1772,1,4.49,Approved,A
1772,10,4.49,Approved,A
1198,2,8.99,Approved,B
1198,4,8.99,Approved,B
1198,5,9.49,Approved,B
982,3,15.99,Approved,A
982,1,15.99,Approved,A
982,2,15.99,Approved,A
982,4,15.99,Approved,A
1222,4,12.99,Approved,C
1222,2,12.99,Approved,C
1222,1,12.99,Approved,C
1222,10,15.99,Approved,C
1841,3,19.99,Approved,C
1841,1,19.99,Approved,C
1841,2,19.99,Approved,C
1841,4,19.99,Approved,C
1841,5,24.99,Approved,C
278,2,10.49,Approved,C
278,5,10.99,Approved,C
1838,1,27.99,Approved,A
1838,4,27.99,Approved,A
1838,2,27.99,Approved,A
1838,3,27.99,Approved,A
1838,5,28.99,Approved,A
544,3,10.29,Approved,A
544,1,10.29,Approved,A
544,5,11.29,Approved,A
845,4,21.99,Approved,D
845,2,21.99,Approved,D
845,3,21.99,Approved,D
845,5,19.49,Approved,D
850,5,9.99,Approved,D
1008,3,8.99,Approved,A
1008,5,10.49,Approved,A
1105,1,14.99,Approved,A
1227,4,7.29,Approved,B
1227,1,7.29,Approved,B
1227,3,7.29,Approved,B
1229,1,3.99,Approved,B
1229,3,3.99,Approved,B
1229,5,5.99,Approved,B
1232,5,14.29,Approved,D
1799,4,8.99,Approved,B
1799,2,8.99,Approved,B
1796,2,7.99,Approved,D
1796,3,7.99,Approved,D
1796,1,7.99,Approved,D
1796,4,7.99,Approved,D
1796,5,10.99,Approved,D
1023,1,5.49,Approved,B
1023,2,5.49,Approved,B
1751,3,7.99,Approved,C
1751,5,8.49,Approved,C
1640,2,19.99,Approved,B
1640,3,19.99,Approved,B
1640,1,19.99,Approved,B
1640,4,19.99,Approved,B
1640,10,19.99,Approved,B
675,2,9.99,Approved,C
675,3,9.99,Approved,C
675,5,12.79,Approved,C
1997,3,39.99,Approved,C
1997,1,39.99,Approved,C
1997,4,39.99,Approved,C
1997,2,39.99,Approved,C
1997,5,43.49,Approved,C
32,4,22.99,Approved,A
32,2,22.99,Approved,A
810,2,14.99,Approved,A
810,5,18.99,Approved,A
722,2,8.99,Approved,D
722,3,8.99,Approved,D
722,4,8.99,Approved,D
722,10,8.99,Approved,D
1649,2,59.99,Approved,A
1649,3,59.99,Approved,A
1649,1,59.99,Approved,A
1649,4,59.99,Approved,A
1314,1,53.99,Approved,B
1314,2,53.99,Approved,B
1314,4,53.99,Approved,B
1314,10,54.99,Approved,B
856,3,49.99,Approved,A
856,4,49.99,Approved,A
856,1,49.99,Approved,A
856,5,49.99,Approved,A
1840,2,28.99,Approved,C
1840,1,28.99,Approved,C
1840,3,28.99,Approved,C
1840,4,28.99,Approved,C
1840,5,38.49,Approved,C
458,4,11.99,Approved,A
1652,7,13.49,Approved,A
1652,9,13.49,Approved,A
1651,9,12.99,Approved,A
59,8,5.99,Approved,B
207,9,22.99,Approved,B
207,8,22.99,Approved,B
207,7,22.99,Approved,B
214,8,37.99,Approved,A
214,9,37.99,Approved,A
428,8,12.99,Approved,D
428,9,12.99,Approved,D
428,7,12.99,Approved,D
492,7,8.29,Approved,B
492,8,8.29,Approved,B
492,9,8.29,Approved,B
511,7,7.29,Approved,A
511,8,7.29,Approved,A
511,9,7.29,Approved,A
926,9,39.99,Approved,A
1086,7,11.99,Approved,C
1086,8,11.99,Approved,C
451,9,28.99,Approved,A
1740,9,8.99,Approved,B
1740,8,8.99,Approved,B
1743,6,5.49,Approved,B
1743,10,6.49,Approved,B
1765,2,5.99,Approved,C
1765,3,5.99,Approved,C
1765,1,5.99,Approved,C
1765,4,5.99,Approved,C
1765,5,5.49,Approved,C
1746,9,7.49,Approved,A
1746,8,7.49,Approved,A
1746,7,7.49,Approved,A
1924,8,21.99,Approved,B
1924,7,21.99,Approved,B
1924,9,21.99,Approved,B
279,7,84.99,Approved,A
279,9,84.99,Approved,A
279,8,84.99,Approved,A
550,8,7.99,Approved,A
906,9,17.99,Approved,A
1009,7,6.29,Approved,B
1365,9,39.99,Approved,D
1365,7,39.99,Approved,D
1365,8,39.99,Approved,D
1368,8,16.99,Approved,D
1368,9,16.99,Approved,D
1444,7,169.99,Approved,B
1444,9,169.99,Approved,B
1882,8,139.99,Approved,C
1882,9,139.99,Approved,C
915,9,34.99,Approved,A
1403,9,29.99,Approved,B
1689,5,37.99,Approved,C
1130,5,13.49,Approved,A
1591,6,8.79,Approved,B
1109,6,189.99,Approved,D
1109,10,199.99,Approved,D
360,6,12.99,Approved,C
732,6,19.49,Approved,C
1652,5,12.29,Approved,A
59,6,4.99,Approved,B
59,10,5.99,Approved,B
1832,6,8.79,Approved,B
428,6,12.49,Approved,D
1086,6,12.29,Approved,C
451,6,28.99,Approved,A
451,10,27.99,Approved,A
1740,6,8.49,Approved,B
1743,3,5.99,Approved,B
1743,1,5.99,Approved,B
1743,2,5.99,Approved,B
1743,5,5.49,Approved,B
1764,6,8.79,Approved,B
1765,6,5.49,Approved,C
1765,10,6.49,Approved,C
1924,10,21.49,Approved,B
110,10,10.99,Approved,A
550,6,7.29,Approved,A
551,6,6.99,Approved,B
848,9,9.49,Approved,B
848,7,9.49,Approved,B
906,6,18.49,Approved,A
906,10,18.49,Approved,A
1004,6,10.49,Approved,A
1104,5,10.99,Approved,D
1444,6,124.99,Approved,B
915,6,33.49,Approved,A
915,10,34.99,Approved,A
1231,6,8.99,Approved,C
1800,6,15.99,Approved,B
1031,6,13.49,Approved,C
650,6,31.99,Approved,A
505,6,11.29,Approved,D
1948,6,8.99,Approved,B
1936,5,5.99,Approved,A
1511,6,15.99,Approved,A
953,6,21.49,Approved,A
1140,10,8.99,Approved,A
932,6,20.99,Approved,A
272,5,10.79,Approved,C
1403,10,29.99,Approved,B
1677,6,19.49,Approved,C
1677,10,16.49,Approved,C
938,6,14.49,Approved,B
750,6,34.99,Approved,A
750,10,36.49,Approved,A
811,6,14.49,Approved,C
811,10,13.99,Approved,C
320,6,10.49,Approved,C
320,10,9.99,Approved,C
494,5,10.99,Approved,C
1556,6,14.99,Approved,B
905,6,17.49,Approved,C
1636,6,9.99,Approved,A
1636,10,9.99,Approved,A
1093,5,14.99,Approved,D
1083,10,27.99,Approved,C
46,4,15.99,Approved,B
46,2,15.99,Approved,B
46,3,15.99,Approved,B
46,1,15.99,Approved,B
46,5,15.49,Approved,B
45,4,15.99,Approved,B
45,2,15.99,Approved,B
45,3,15.99,Approved,B
45,1,15.99,Approved,B
45,5,15.49,Approved,B
1258,3,24.99,Approved,A
1258,1,24.99,Approved,A
1258,4,24.99,Approved,A
319,1,24.99,Approved,B
319,4,24.99,Approved,B
319,3,24.99,Approved,B
283,3,9.99,Approved,B
283,1,9.99,Approved,B
283,4,9.99,Approved,B
283,10,10.99,Approved,B
813,3,13.99,Approved,B
813,1,13.99,Approved,B
813,4,13.99,Approved,B
813,6,19.49,Approved,B
812,1,39.99,Approved,A
812,4,39.99,Approved,A
812,5,43.49,Approved,A
721,3,10.99,Approved,A
721,4,10.99,Approved,A
721,5,10.79,Approved,A
1437,3,64.99,Approved,B
1437,4,64.99,Approved,B
1437,1,64.99,Approved,B
1437,2,64.99,Approved,B
